        Pcore(1)        Pcore(2)        Pcore(3)        Pcore(4)        Pcore(5)        Pcore(6)        Pcore(7)        Pcore(8)
     1.4942529     2.9885057     4.4827586     5.9770115     5.9770115     4.4827586     2.9885057     1.4942529
        Vcore(1)        Vcore(2)        Vcore(3)        Vcore(4)        Vcore(5)        Vcore(6)        Vcore(7)        Vcore(8)
             0             0             0             0             0             0             0             0
     13.612624     13.687337     13.762049     13.836762     13.836762     13.762049     13.687337     13.612624
     13.639561     13.714274     13.788986     13.863699     13.863699     13.788986     13.714274     13.639561
     13.666314     13.741027      13.81574     13.890452     13.890452      13.81574     13.741027     13.666314
     13.692885     13.767598      13.84231     13.917023     13.917023      13.84231     13.767598     13.692885
     13.719275     13.793987       13.8687     13.943413     13.943413       13.8687     13.793987     13.719275
     13.745484     13.820197     13.894909     13.969622     13.969622     13.894909     13.820197     13.745484
     13.771515     13.846227      13.92094     13.995653     13.995653      13.92094     13.846227     13.771515
     13.797368      13.87208     13.946793     14.021505     14.021505     13.946793      13.87208     13.797368
     13.823044     13.897757     13.972469     14.047182     14.047182     13.972469     13.897757     13.823044
     13.848545     13.923258     13.997971     14.072683     14.072683     13.997971     13.923258     13.848545
     13.873873     13.948585     14.023298     14.098011     14.098011     14.023298     13.948585     13.873873
     13.899027      13.97374     14.048453     14.123165     14.123165     14.048453      13.97374     13.899027
      13.92401     13.998723     14.073436     14.148148     14.148148     14.073436     13.998723      13.92401
     13.948823     14.023535     14.098248     14.172961     14.172961     14.098248     14.023535     13.948823
     13.973466     14.048178     14.122891     14.197604     14.197604     14.122891     14.048178     13.973466
     13.997941     14.072653     14.147366     14.222079     14.222079     14.147366     14.072653     13.997941
     14.022249     14.096961     14.171674     14.246387     14.246387     14.171674     14.096961     14.022249
     14.046391     14.121104     14.195816     14.270529     14.270529     14.195816     14.121104     14.046391
     14.070368     14.145081     14.219794     14.294506     14.294506     14.219794     14.145081     14.070368
     14.094182     14.168895     14.243607      14.31832      14.31832     14.243607     14.168895     14.094182
     14.117833     14.192546     14.267259     14.341971     14.341971     14.267259     14.192546     14.117833
     14.141323     14.216036     14.290749     14.365461     14.365461     14.290749     14.216036     14.141323
     14.164653     14.239366     14.314078     14.388791     14.388791     14.314078     14.239366     14.164653
     14.187824     14.262536     14.337249     14.411961     14.411961     14.337249     14.262536     14.187824
     14.210836     14.285549     14.360261     14.434974     14.434974     14.360261     14.285549     14.210836
     14.233691     14.308404     14.383117     14.457829     14.457829     14.383117     14.308404     14.233691
     14.256391     14.331103     14.405816     14.480529     14.480529     14.405816     14.331103     14.256391
     14.278935     14.353648      14.42836     14.503073     14.503073      14.42836     14.353648     14.278935
     14.301326     14.376038     14.450751     14.525464     14.525464     14.450751     14.376038     14.301326
     14.323564     14.398276     14.472989     14.547702     14.547702     14.472989     14.398276     14.323564
      14.34565     14.420363     14.495075     14.569788     14.569788     14.495075     14.420363      14.34565
     14.367585     14.442298     14.517011     14.591723     14.591723     14.517011     14.442298     14.367585
     14.389371     14.464084     14.538797     14.613509     14.613509     14.538797     14.464084     14.389371
     14.411008     14.485721     14.560434     14.635146     14.635146     14.560434     14.485721     14.411008
     14.432498     14.507211     14.581923     14.656636     14.656636     14.581923     14.507211     14.432498
     14.453841     14.528553     14.603266     14.677979     14.677979     14.603266     14.528553     14.453841
